step_over_ratio,edge_mode,direction_mode,tile_x,tile_y,exposure_norm
0.32,balanced_extend5,same_xx,4,3,0.9457307816852167
0.32,balanced_extend5,same_xx,4,4,0.7990269118735579
0.32,balanced_extend5,cross_xy,0,0,0.7990269118735577
0.32,balanced_extend5,cross_xy,0,1,0.9579780599338023
0.32,balanced_extend5,cross_xy,0,2,0.9593402194707388
0.32,balanced_extend5,cross_xy,0,3,0.9579780599338019
0.32,balanced_extend5,cross_xy,0,4,0.7990269118735577
0.32,balanced_extend5,cross_xy,1,0,0.9579780599338023
0.32,balanced_extend5,cross_xy,1,1,1.1439630358373458
0.32,balanced_extend5,cross_xy,1,2,1.1450591185021566
0.32,balanced_extend5,cross_xy,1,3,1.1439630358373458
0.32,balanced_extend5,cross_xy,1,4,0.9579780599338023
0.32,balanced_extend5,cross_xy,2,0,0.9593402194707386
0.32,balanced_extend5,cross_xy,2,1,1.1450591185021566
0.32,balanced_extend5,cross_xy,2,2,1.1466183777943872
0.32,balanced_extend5,cross_xy,2,3,1.1450591185021566
0.32,balanced_extend5,cross_xy,2,4,0.9593402194707386
0.32,balanced_extend5,cross_xy,3,0,0.9579780599338023
0.32,balanced_extend5,cross_xy,3,1,1.1439630358373456
0.32,balanced_extend5,cross_xy,3,2,1.1450591185021566
0.32,balanced_extend5,cross_xy,3,3,1.1439630358373458
0.32,balanced_extend5,cross_xy,3,4,0.9579780599338023
0.32,balanced_extend5,cross_xy,4,0,0.7990269118735577
0.32,balanced_extend5,cross_xy,4,1,0.9579780599338023
0.32,balanced_extend5,cross_xy,4,2,0.9593402194707386
0.32,balanced_extend5,cross_xy,4,3,0.9579780599338021
0.32,balanced_extend5,cross_xy,4,4,0.7990269118735577
0.4,legacy_start,same_xx,0,0,0.7093904897100478
0.4,legacy_start,same_xx,0,1,0.8942698389871948
0.4,legacy_start,same_xx,0,2,0.8957852948477791
0.4,legacy_start,same_xx,0,3,0.8916526363185505
0.4,legacy_start,same_xx,0,4,0.8586878685726002
0.4,legacy_start,same_xx,1,0,0.9186966465250159
0.4,legacy_start,same_xx,1,1,1.153072012324368
0.4,legacy_start,same_xx,1,2,1.155337817001013
0.4,legacy_start,same_xx,1,3,1.15095726939887
0.4,legacy_start,same_xx,1,4,1.1119920720853758
0.4,legacy_start,same_xx,2,0,0.9245031693490503
0.4,legacy_start,same_xx,2,1,1.1591573802404735
0.4,legacy_start,same_xx,2,2,1.1615187739176898
0.4,legacy_start,same_xx,2,3,1.1569521845773088
0.4,legacy_start,same_xx,2,4,1.117957894313459
0.4,legacy_start,same_xx,3,0,0.918721836087281
0.4,legacy_start,same_xx,3,1,1.1531055984073881
0.4,legacy_start,same_xx,3,2,1.1553630065632778
0.4,legacy_start,same_xx,3,3,1.15092368331585
0.4,legacy_start,same_xx,3,4,1.1119920720853758
0.4,legacy_start,same_xx,4,0,0.7094828514383528
0.4,legacy_start,same_xx,4,1,0.894286632028705
0.4,legacy_start,same_xx,4,2,0.8958776565760842
0.4,legacy_start,same_xx,4,3,0.8916190502355308
0.4,legacy_start,same_xx,4,4,0.8586962650933551
0.4,legacy_start,cross_xy,0,0,0.7093904897100478
0.4,legacy_start,cross_xy,0,1,0.9064832427561055
0.4,legacy_start,cross_xy,0,2,0.9101442320984148
0.4,legacy_start,cross_xy,0,3,0.9051872362029159
0.4,legacy_start,cross_xy,0,4,0.7840853600054766
0.4,legacy_start,cross_xy,1,0,0.9064832427561054
0.4,legacy_start,cross_xy,1,1,1.153072012324368
0.4,legacy_start,cross_xy,1,2,1.1572475986207433
0.4,legacy_start,cross_xy,1,3,1.1520314339031292
